新增疑似病例0例,RES
（,O
武汉,LOC
0例,RES
）,O
，,O
现有疑似病例0例,RES
（,O
武汉,LOC
0例,RES
）,O
。,O
31个省,RES
（,O
自治区,RES
、,O
直辖市,RES
）,O
和,O
新疆生产建设兵团,ORG
报告新增无症状感染者55例,RES
",",
其中,O
境外,O
输入无症状感染者17例,RES
；,O
当日,TIME
转为确诊病例9例,RES
（,O
境外,O
输入转为确诊9例,RES
）,O
；,O
当日,TIME
解除医学观察338例,RES
（,O
境外,O
输入解除医学观察12例,RES
）,O
。,O
尚,O
在医学,RES
观察,RES
无症状感染者1,RES
0,RES
75例,RES
（,O
境外,O
输入226例,RES
）,O
。,O
累计收到,RES
港澳台地区,LOC
通报确诊病例1135例,RES
：,O
香港特别行政区,LOC
765例,RES
（,O
出院147例,RES
，,O
死亡4例,RES
）,O
，,O
澳门,LOC
特别行政区,O
41例,RES
（,O
出院10例,RES
）,O
，,O
台湾地区,LOC
329例,RES
（,O
出院45例,RES
，,O
死亡5例,RES
）,O
。,O
（,O
注,RES
：,O
媒体引用时,RES
，,O
请标注,RES
“,O
信息来自国家,RES
卫生健康委员会,O
官方网站,RES
”,O
。,O
3月31日,TIME
0—24时,TIME
，,O
31个省,RES
（,O
自治区,RES
、,O
直辖市,RES
）,O
和,O
新疆生产建设兵团,ORG
报告新增确诊病例36例,RES
，,O
其中,O
境外,O
输入病例35例,RES
，,O
本土病例1例,RES
（,O
广东,LOC
1例,RES
）,O
；,O
新增死亡病例7例,RES
（,O
湖北,LOC
6例,RES
，,O
上海1,LOC
例,RES
）,O
；,O
新增疑似病例26例,RES
，,O
均为境,RES
外,O
输入病例,RES
。,O
当日,TIME
新增治愈出院病例186例,RES
，,O
解除医学观察,RES
的,O
密切接触者,O
1418人,RES
，,O
重症病例减少62例,RES
。,O
境外,O
输入现有确诊病例691例,RES
（,O
含重症病例20例,RES
）,O
，,O
现有疑似病例169例,RES
。,O
累计确诊病例806例,RES
，,O
累计,O
治愈出院病例115例,RES
，,O
累计死亡病例0例,RES
。,O
截至,O
3月31日24时,TIME
，,O
据,O
31个省,RES
（,O
自治区,RES
、,O
直辖市,RES
）,O
和,O
新疆生产建设兵团,ORG
报告,RES
，,O
现有确诊病例2004例,RES
（,O
含重症病例466例,RES
）,O
，,O
现有疑似病例172例,RES
。,O
