"['（', '注', '：', '媒', '体', '引', '用', '时', '，', '请', '标', '注', '“', '信', '息', '来', '自', '国家卫生健康委员会', '官', '方', '网', '站', '”', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
"['5月30日', '0—24时', '，', '31个省', '（', '自治区', '、', '直辖市', '）', '和', '新疆生产建设兵团', '报告新增确诊病例2例', '，', '均为', '境外输入病例', '（', '均', '在', '山东', '）', '；', '无新增死亡病例', '；', '无新增疑似病例', '。']","['TIME', 'TIME', 'O', 'RES', 'O', 'RES', 'O', 'RES', 'O', 'O', 'ORG', 'RES', 'O', 'RES', 'RES', 'O', 'O', 'O', 'LOC', 'O', 'O', 'RES', 'O', 'RES', 'O']"
"['当日', '新增治愈出院病例2例', '，', '解除医学观察', '的', '密切接触者', '565人', '，', '重症病例', '与', '前一日', '持平', '。']","['TIME', 'RES', 'O', 'RES', 'O', 'O', 'RES', 'O', 'RES', 'O', 'TIME', 'RES', 'O']"
"['境外输入现有确诊病例48例', '（', '无重症病例', '）', '，', '现有疑似病例4例', '。']","['RES', 'O', 'RES', 'O', 'O', 'RES', 'O']"
"['累计确诊病例1740例', '，', '累计', '治愈出院病例1692例', '，', '无死亡病例', '。']","['RES', 'O', 'O', 'RES', 'O', 'RES', 'O']"
"['截至', '5月30日24时', '，', '据', '31个省', '（', '自治区', '、', '直辖市', '）', '和', '新疆生产建设兵团', '报告', '，', '现有确诊病例63例', '（', '其中', '重症病例3例', '）', '，', '累计', '治愈出院病例78304例', '，', '累计死亡病例4634例', '，', '累计', '报告确诊病例83001例', '，', '现有疑似病例4例', '。']","['O', 'TIME', 'O', 'O', 'RES', 'O', 'RES', 'O', 'RES', 'O', 'O', 'ORG', 'RES', 'O', 'RES', 'O', 'O', 'RES', 'O', 'O', 'O', 'RES', 'O', 'RES', 'O', 'O', 'RES', 'O', 'RES', 'O']"
"['累计追踪到', '密切接触者', '744693人', '，', '尚', '在', '医学观察', '的', '密切接触者', '5183人', '。']","['RES', 'O', 'RES', 'O', 'O', 'O', 'RES', 'O', 'O', 'RES', 'O']"
"['31个省', '（', '自治区', '、', '直辖市', '）', '和', '新疆生产建设兵团', '报告新增无症状感染者3例', '（', '境外输入1例', '）', '；', '当日', '无转为确诊病例', '；', '当日', '解除医学观察10例', '（', '无', '境外输入', '）', '；', '尚', '在', '医学观察无症状感染者389例', '（', '境外输入25例', '）', '。']","['RES', 'O', 'RES', 'O', 'RES', 'O', 'O', 'ORG', 'RES', 'O', 'RES', 'O', 'O', 'TIME', 'RES', 'O', 'TIME', 'RES', 'O', 'RES', 'RES', 'O', 'O', 'O', 'O', 'RES', 'O', 'RES', 'O', 'O']"
"['累计收到', '港澳台地区', '通报确诊病例1569例', '。']","['RES', 'LOC', 'RES', 'O']"
"['其中', '，', '香港特别行政区', '1082例', '（', '出院1036例', '，', '死亡4例', '）', '，', '澳门特别行政区', '45例', '（', '出院45例', '）', '，', '台湾地区', '442例', '（', '出院421例', '，', '死亡7例', '）', '。']","['O', 'O', 'LOC', 'RES', 'O', 'RES', 'O', 'RES', 'O', 'O', 'LOC', 'RES', 'O', 'RES', 'O', 'O', 'LOC', 'RES', 'O', 'RES', 'O', 'RES', 'O', 'O']"
